Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;20;395;0.078320;0.078320
uniform_1_100;20;400;0.078320;0.078320
uniform_1_100;25;5;0.934880;0.211640
uniform_1_100;25;10;0.867630;0.200880
uniform_1_100;25;15;0.796380;0.189480
uniform_1_100;25;20;0.737630;0.180080
uniform_1_100;25;25;0.673130;0.169760
uniform_1_100;25;30;0.612880;0.160120
uniform_1_100;25;35;0.562130;0.152000
uniform_1_100;25;40;0.491880;0.140760
uniform_1_100;25;45;0.423880;0.129880
uniform_1_100;25;50;0.360880;0.119800
uniform_1_100;25;55;0.295880;0.109400
uniform_1_100;25;60;0.231630;0.099120
uniform_1_100;25;65;0.166880;0.088760
uniform_1_100;25;70;0.111380;0.079880
uniform_1_100;25;75;0.073880;0.073880
uniform_1_100;25;80;0.073880;0.073880
uniform_1_100;25;85;0.073880;0.073880
uniform_1_100;25;90;0.073880;0.073880
uniform_1_100;25;95;0.073880;0.073880
uniform_1_100;25;100;0.073880;0.073880
uniform_1_100;25;105;0.073880;0.073880
uniform_1_100;25;110;0.073880;0.073880
uniform_1_100;25;115;0.073880;0.073880
uniform_1_100;25;120;0.073880;0.073880
uniform_1_100;25;125;0.073880;0.073880
uniform_1_100;25;130;0.073880;0.073880
uniform_1_100;25;135;0.073880;0.073880
uniform_1_100;25;140;0.073880;0.073880
uniform_1_100;25;145;0.073880;0.073880
uniform_1_100;25;150;0.073880;0.073880
uniform_1_100;25;155;0.073880;0.073880
uniform_1_100;25;160;0.073880;0.073880
uniform_1_100;25;165;0.073880;0.073880
uniform_1_100;25;170;0.073880;0.073880
uniform_1_100;25;175;0.073880;0.073880
uniform_1_100;25;180;0.073880;0.073880
uniform_1_100;25;185;0.073880;0.073880
uniform_1_100;25;190;0.073880;0.073880
uniform_1_100;25;195;0.073880;0.073880
uniform_1_100;25;200;0.073880;0.073880
uniform_1_100;25;205;0.073880;0.073880
uniform_1_100;25;210;0.073880;0.073880
uniform_1_100;25;215;0.073880;0.073880
uniform_1_100;25;220;0.073880;0.073880
uniform_1_100;25;225;0.073880;0.073880
uniform_1_100;25;230;0.073880;0.073880
uniform_1_100;25;235;0.073880;0.073880
uniform_1_100;25;240;0.073880;0.073880
uniform_1_100;25;245;0.073880;0.073880
uniform_1_100;25;250;0.073880;0.073880
uniform_1_100;25;255;0.073880;0.073880
uniform_1_100;25;260;0.073880;0.073880
uniform_1_100;25;265;0.073880;0.073880
uniform_1_100;25;270;0.073880;0.073880
uniform_1_100;25;275;0.073880;0.073880
uniform_1_100;25;280;0.073880;0.073880
uniform_1_100;25;285;0.073880;0.073880
uniform_1_100;25;290;0.073880;0.073880
uniform_1_100;25;295;0.073880;0.073880
uniform_1_100;25;300;0.073880;0.073880
uniform_1_100;25;305;0.073880;0.073880
uniform_1_100;25;310;0.073880;0.073880
uniform_1_100;25;315;0.073880;0.073880
uniform_1_100;25;320;0.073880;0.073880
uniform_1_100;25;325;0.073880;0.073880
uniform_1_100;25;330;0.073880;0.073880
uniform_1_100;25;335;0.073880;0.073880
uniform_1_100;25;340;0.073880;0.073880
uniform_1_100;25;345;0.073880;0.073880
uniform_1_100;25;350;0.073880;0.073880
uniform_1_100;25;355;0.073880;0.073880
uniform_1_100;25;360;0.073880;0.073880
uniform_1_100;25;365;0.073880;0.073880
uniform_1_100;25;370;0.073880;0.073880
uniform_1_100;25;375;0.073880;0.073880
uniform_1_100;25;380;0.073880;0.073880
uniform_1_100;25;385;0.073880;0.073880
uniform_1_100;25;390;0.073880;0.073880
uniform_1_100;25;395;0.073880;0.073880
uniform_1_100;25;400;0.073880;0.073880
uniform_1_100;30;5;0.862630;0.195880
uniform_1_100;30;10;0.791380;0.184480
uniform_1_100;30;15;0.732630;0.175080
uniform_1_100;30;20;0.668130;0.164760
uniform_1_100;30;25;0.607880;0.155120
uniform_1_100;30;30;0.557130;0.147000
uniform_1_100;30;35;0.486880;0.135760
uniform_1_100;30;40;0.418880;0.124880
uniform_1_100;30;45;0.355880;0.114800
uniform_1_100;30;50;0.290880;0.104400
uniform_1_100;30;55;0.226630;0.094120
uniform_1_100;30;60;0.161880;0.083760
uniform_1_100;30;65;0.106380;0.074880
uniform_1_100;30;70;0.068880;0.068880
uniform_1_100;30;75;0.068880;0.068880
uniform_1_100;30;80;0.068880;0.068880
uniform_1_100;30;85;0.068880;0.068880
uniform_1_100;30;90;0.068880;0.068880
uniform_1_100;30;95;0.068880;0.068880
uniform_1_100;30;100;0.068880;0.068880
uniform_1_100;30;105;0.068880;0.068880
uniform_1_100;30;110;0.068880;0.068880
uniform_1_100;30;115;0.068880;0.068880
uniform_1_100;30;120;0.068880;0.068880
uniform_1_100;30;125;0.068880;0.068880
uniform_1_100;30;130;0.068880;0.068880
uniform_1_100;30;135;0.068880;0.068880
uniform_1_100;30;140;0.068880;0.068880
uniform_1_100;30;145;0.068880;0.068880
uniform_1_100;30;150;0.068880;0.068880
uniform_1_100;30;155;0.068880;0.068880
uniform_1_100;30;160;0.068880;0.068880
uniform_1_100;30;165;0.068880;0.068880
uniform_1_100;30;170;0.068880;0.068880
uniform_1_100;30;175;0.068880;0.068880
uniform_1_100;30;180;0.068880;0.068880
uniform_1_100;30;185;0.068880;0.068880
uniform_1_100;30;190;0.068880;0.068880
uniform_1_100;30;195;0.068880;0.068880
uniform_1_100;30;200;0.068880;0.068880
uniform_1_100;30;205;0.068880;0.068880
uniform_1_100;30;210;0.068880;0.068880
uniform_1_100;30;215;0.068880;0.068880
uniform_1_100;30;220;0.068880;0.068880
uniform_1_100;30;225;0.068880;0.068880
uniform_1_100;30;230;0.068880;0.068880
uniform_1_100;30;235;0.068880;0.068880
uniform_1_100;30;240;0.068880;0.068880
uniform_1_100;30;245;0.068880;0.068880
uniform_1_100;30;250;0.068880;0.068880
uniform_1_100;30;255;0.068880;0.068880
uniform_1_100;30;260;0.068880;0.068880
uniform_1_100;30;265;0.068880;0.068880
uniform_1_100;30;270;0.068880;0.068880
uniform_1_100;30;275;0.068880;0.068880
uniform_1_100;30;280;0.068880;0.068880
uniform_1_100;30;285;0.068880;0.068880
uniform_1_100;30;290;0.068880;0.068880
uniform_1_100;30;295;0.068880;0.068880
uniform_1_100;30;300;0.068880;0.068880
uniform_1_100;30;305;0.068880;0.068880
uniform_1_100;30;310;0.068880;0.068880
uniform_1_100;30;315;0.068880;0.068880
uniform_1_100;30;320;0.068880;0.068880
uniform_1_100;30;325;0.068880;0.068880
uniform_1_100;30;330;0.068880;0.068880
uniform_1_100;30;335;0.068880;0.068880
uniform_1_100;30;340;0.068880;0.068880
uniform_1_100;30;345;0.068880;0.068880
uniform_1_100;30;350;0.068880;0.068880
uniform_1_100;30;355;0.068880;0.068880
uniform_1_100;30;360;0.068880;0.068880
uniform_1_100;30;365;0.068880;0.068880
uniform_1_100;30;370;0.068880;0.068880
uniform_1_100;30;375;0.068880;0.068880
uniform_1_100;30;380;0.068880;0.068880
uniform_1_100;30;385;0.068880;0.068880
uniform_1_100;30;390;0.068880;0.068880
uniform_1_100;30;395;0.068880;0.068880
uniform_1_100;30;400;0.068880;0.068880
uniform_1_100;35;5;0.786000;0.179100
uniform_1_100;35;10;0.727250;0.169700
uniform_1_100;35;15;0.662750;0.159380
uniform_1_100;35;20;0.602500;0.149740
uniform_1_100;35;25;0.551750;0.141620
uniform_1_100;35;30;0.481500;0.130380
uniform_1_100;35;35;0.413500;0.119500
uniform_1_100;35;40;0.350500;0.109420
uniform_1_100;35;45;0.285500;0.099020
uniform_1_100;35;50;0.221250;0.088740
uniform_1_100;35;55;0.156500;0.078380
uniform_1_100;35;60;0.101000;0.069500
uniform_1_100;35;65;0.063500;0.063500
uniform_1_100;35;70;0.063500;0.063500
uniform_1_100;35;75;0.063500;0.063500
uniform_1_100;35;80;0.063500;0.063500
uniform_1_100;35;85;0.063500;0.063500
uniform_1_100;35;90;0.063500;0.063500
uniform_1_100;35;95;0.063500;0.063500
uniform_1_100;35;100;0.063500;0.063500
uniform_1_100;35;105;0.063500;0.063500
uniform_1_100;35;110;0.063500;0.063500
uniform_1_100;35;115;0.063500;0.063500
uniform_1_100;35;120;0.063500;0.063500
uniform_1_100;35;125;0.063500;0.063500
uniform_1_100;35;130;0.063500;0.063500
uniform_1_100;35;135;0.063500;0.063500
uniform_1_100;35;140;0.063500;0.063500
uniform_1_100;35;145;0.063500;0.063500
uniform_1_100;35;150;0.063500;0.063500
uniform_1_100;35;155;0.063500;0.063500
uniform_1_100;35;160;0.063500;0.063500
uniform_1_100;35;165;0.063500;0.063500
uniform_1_100;35;170;0.063500;0.063500
uniform_1_100;35;175;0.063500;0.063500
uniform_1_100;35;180;0.063500;0.063500
uniform_1_100;35;185;0.063500;0.063500
uniform_1_100;35;190;0.063500;0.063500
uniform_1_100;35;195;0.063500;0.063500
uniform_1_100;35;200;0.063500;0.063500
uniform_1_100;35;205;0.063500;0.063500
uniform_1_100;35;210;0.063500;0.063500
uniform_1_100;35;215;0.063500;0.063500
uniform_1_100;35;220;0.063500;0.063500
uniform_1_100;35;225;0.063500;0.063500
uniform_1_100;35;230;0.063500;0.063500
uniform_1_100;35;235;0.063500;0.063500
uniform_1_100;35;240;0.063500;0.063500
uniform_1_100;35;245;0.063500;0.063500
uniform_1_100;35;250;0.063500;0.063500
uniform_1_100;35;255;0.063500;0.063500
uniform_1_100;35;260;0.063500;0.063500
uniform_1_100;35;265;0.063500;0.063500
