Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
exp;35;370;0.049040;0.048830
exp;35;375;0.048790;0.048790
exp;35;380;0.048790;0.048790
exp;35;385;0.048790;0.048790
exp;35;390;0.048790;0.048790
exp;35;395;0.048790;0.048790
exp;35;400;0.048790;0.048790
exp;40;5;0.540800;0.123530
exp;40;10;0.490550;0.115490
exp;40;15;0.449800;0.108970
exp;40;20;0.413050;0.103090
exp;40;25;0.375050;0.097010
exp;40;30;0.343050;0.091890
exp;40;35;0.313550;0.087170
exp;40;40;0.286550;0.082850
exp;40;45;0.265800;0.079530
exp;40;50;0.245550;0.076290
exp;40;55;0.226050;0.073170
exp;40;60;0.207800;0.070250
exp;40;65;0.193050;0.067890
exp;40;70;0.177800;0.065450
exp;40;75;0.167800;0.063850
exp;40;80;0.160300;0.062650
exp;40;85;0.151300;0.061210
exp;40;90;0.139800;0.059370
exp;40;95;0.131550;0.058050
exp;40;100;0.124300;0.056890
exp;40;105;0.117050;0.055730
exp;40;110;0.108550;0.054370
exp;40;115;0.102050;0.053330
exp;40;120;0.098300;0.052730
exp;40;125;0.094550;0.052130
exp;40;130;0.091300;0.051610
exp;40;135;0.086300;0.050810
exp;40;140;0.080800;0.049930
exp;40;145;0.076800;0.049290
exp;40;150;0.073300;0.048730
exp;40;155;0.072550;0.048610
exp;40;160;0.071550;0.048450
exp;40;165;0.069800;0.048170
exp;40;170;0.067800;0.047850
exp;40;175;0.065300;0.047450
exp;40;180;0.062550;0.047010
exp;40;185;0.061050;0.046770
exp;40;190;0.059800;0.046570
exp;40;195;0.059050;0.046450
exp;40;200;0.058050;0.046290
exp;40;205;0.057050;0.046130
exp;40;210;0.056050;0.045970
exp;40;215;0.054300;0.045690
exp;40;220;0.053550;0.045570
exp;40;225;0.052800;0.045450
exp;40;230;0.052300;0.045370
exp;40;235;0.051550;0.045250
exp;40;240;0.049800;0.044970
exp;40;245;0.049550;0.044930
exp;40;250;0.049300;0.044890
exp;40;255;0.048300;0.044730
exp;40;260;0.048050;0.044690
exp;40;265;0.048050;0.044690
exp;40;270;0.047050;0.044530
exp;40;275;0.046300;0.044410
exp;40;280;0.045550;0.044290
exp;40;285;0.045300;0.044250
exp;40;290;0.045050;0.044210
exp;40;295;0.045050;0.044210
exp;40;300;0.045050;0.044210
exp;40;305;0.045050;0.044210
exp;40;310;0.045050;0.044210
exp;40;315;0.044800;0.044170
exp;40;320;0.044800;0.044170
