Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian;40;295;0.3
gaussian;40;300;0.3
gaussian;40;305;0.3
gaussian;40;310;0.3
gaussian;40;315;0.3
gaussian;40;320;0.3
gaussian;40;325;0.3
gaussian;40;330;0.3
gaussian;40;335;0.3
gaussian;40;340;0.3
gaussian;40;345;0.3
gaussian;40;350;0.3
gaussian;40;355;0.3
gaussian;40;360;0.3
gaussian;40;365;0.3
gaussian;40;370;0.3
gaussian;40;375;0.3
gaussian;40;380;0.3
gaussian;40;385;0.3
gaussian;40;390;0.3
gaussian;40;395;0.3
gaussian;40;400;0.3
gaussian;45;5;-27.7
gaussian;45;10;-27.6
gaussian;45;15;-27.4
gaussian;45;20;-27.1
gaussian;45;25;-26.3
gaussian;45;30;-25.3
gaussian;45;35;-23.8
gaussian;45;40;-21.7
gaussian;45;45;-19.2
gaussian;45;50;-16.5
gaussian;45;55;-13.7
gaussian;45;60;-10.9
gaussian;45;65;-8.7
gaussian;45;70;-6.5
gaussian;45;75;-4.7
gaussian;45;80;-3.4
gaussian;45;85;-2.4
gaussian;45;90;-1.8
gaussian;45;95;-1.4
gaussian;45;100;-1.1
gaussian;45;105;-1.0
gaussian;45;110;-0.9
gaussian;45;115;-0.9
gaussian;45;120;-0.9
gaussian;45;125;-0.9
gaussian;45;130;-0.9
gaussian;45;135;-0.9
gaussian;45;140;-0.9
gaussian;45;145;-0.9
gaussian;45;150;-0.9
gaussian;45;155;-0.9
gaussian;45;160;-0.9
gaussian;45;165;-0.9
gaussian;45;170;-0.9
gaussian;45;175;-0.9
gaussian;45;180;-0.9
gaussian;45;185;-0.9
gaussian;45;190;-0.9
gaussian;45;195;-0.9
gaussian;45;200;-0.9
gaussian;45;205;-0.9
gaussian;45;210;-0.9
gaussian;45;215;-0.9
gaussian;45;220;-0.9
gaussian;45;225;-0.9
gaussian;45;230;-0.9
gaussian;45;235;-0.9
gaussian;45;240;-0.9
gaussian;45;245;-0.9
gaussian;45;250;-0.9
gaussian;45;255;-0.9
gaussian;45;260;-0.9
gaussian;45;265;-0.9
gaussian;45;270;-0.9
gaussian;45;275;-0.9
gaussian;45;280;-0.9
gaussian;45;285;-0.9
gaussian;45;290;-0.9
gaussian;45;295;-0.9
gaussian;45;300;-0.9
gaussian;45;305;-0.9
gaussian;45;310;-0.9
gaussian;45;315;-0.9
gaussian;45;320;-0.9
gaussian;45;325;-0.9
gaussian;45;330;-0.9
gaussian;45;335;-0.9
gaussian;45;340;-0.9
gaussian;45;345;-0.9
gaussian;45;350;-0.9
gaussian;45;355;-0.9
gaussian;45;360;-0.9
