Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;50;60;-9.1
trimodal;50;65;-8.5
trimodal;50;70;-8.3
trimodal;50;75;-8.1
trimodal;50;80;-7.8
trimodal;50;85;-7.3
trimodal;50;90;-6.4
trimodal;50;95;-4.9
trimodal;50;100;-3.0
trimodal;50;105;-1.4
trimodal;50;110;-0.1
trimodal;50;115;0.5
trimodal;50;120;0.8
trimodal;50;125;0.9
trimodal;50;130;1.0
trimodal;50;135;1.0
trimodal;50;140;1.0
trimodal;50;145;1.0
trimodal;50;150;1.0
trimodal;50;155;1.0
trimodal;50;160;1.0
trimodal;50;165;1.0
trimodal;50;170;1.0
trimodal;50;175;1.0
trimodal;50;180;1.0
trimodal;50;185;1.0
trimodal;50;190;1.0
trimodal;50;195;1.0
trimodal;50;200;1.0
trimodal;50;205;1.0
trimodal;50;210;1.0
trimodal;50;215;1.0
trimodal;50;220;1.0
trimodal;50;225;1.0
trimodal;50;230;1.0
trimodal;50;235;1.0
trimodal;50;240;1.0
trimodal;50;245;1.0
trimodal;50;250;1.0
trimodal;50;255;1.0
trimodal;50;260;1.0
trimodal;50;265;1.0
trimodal;50;270;1.0
trimodal;50;275;1.0
trimodal;50;280;1.0
trimodal;50;285;1.0
trimodal;50;290;1.0
trimodal;50;295;1.0
trimodal;50;300;1.0
trimodal;50;305;1.0
trimodal;50;310;1.0
trimodal;50;315;1.0
trimodal;50;320;1.0
trimodal;50;325;1.0
trimodal;50;330;1.0
trimodal;50;335;1.0
trimodal;50;340;1.0
trimodal;50;345;1.0
trimodal;50;350;1.0
trimodal;50;355;1.0
trimodal;50;360;1.0
trimodal;50;365;1.0
trimodal;50;370;1.0
trimodal;50;375;1.0
trimodal;50;380;1.0
trimodal;50;385;1.0
trimodal;50;390;1.0
trimodal;50;395;1.0
trimodal;50;400;1.0
trimodal;55;5;-17.8
trimodal;55;10;-17.2
trimodal;55;15;-17.0
trimodal;55;20;-16.9
trimodal;55;25;-16.8
trimodal;55;30;-16.2
trimodal;55;35;-15.2
trimodal;55;40;-13.8
trimodal;55;45;-11.9
trimodal;55;50;-10.3
trimodal;55;55;-9.3
trimodal;55;60;-8.7
trimodal;55;65;-8.5
trimodal;55;70;-8.3
trimodal;55;75;-8.0
trimodal;55;80;-7.5
trimodal;55;85;-6.6
trimodal;55;90;-5.1
trimodal;55;95;-3.1
trimodal;55;100;-1.5
trimodal;55;105;-0.3
trimodal;55;110;0.4
trimodal;55;115;0.7
trimodal;55;120;0.8
trimodal;55;125;0.8
trimodal;55;130;0.8
trimodal;55;135;0.8
trimodal;55;140;0.8
trimodal;55;145;0.8
trimodal;55;150;0.8
trimodal;55;155;0.8
trimodal;55;160;0.8
trimodal;55;165;0.8
trimodal;55;170;0.8
trimodal;55;175;0.8
trimodal;55;180;0.8
trimodal;55;185;0.8
trimodal;55;190;0.8
trimodal;55;195;0.8
trimodal;55;200;0.8
trimodal;55;205;0.8
trimodal;55;210;0.8
trimodal;55;215;0.8
trimodal;55;220;0.8
trimodal;55;225;0.8
trimodal;55;230;0.8
trimodal;55;235;0.8
trimodal;55;240;0.8
trimodal;55;245;0.8
trimodal;55;250;0.8
trimodal;55;255;0.8
trimodal;55;260;0.8
trimodal;55;265;0.8
trimodal;55;270;0.8
trimodal;55;275;0.8
trimodal;55;280;0.8
trimodal;55;285;0.8
trimodal;55;290;0.8
trimodal;55;295;0.8
trimodal;55;300;0.8
trimodal;55;305;0.8
trimodal;55;310;0.8
trimodal;55;315;0.8
trimodal;55;320;0.8
trimodal;55;325;0.8
trimodal;55;330;0.8
trimodal;55;335;0.8
