Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;25;155;31.4
gaussian_400_25;25;160;31.3
gaussian_400_25;25;165;31.2
gaussian_400_25;25;170;31.1
gaussian_400_25;25;175;31.0
gaussian_400_25;25;180;30.9
gaussian_400_25;25;185;30.9
gaussian_400_25;25;190;30.8
gaussian_400_25;25;195;30.7
gaussian_400_25;25;200;30.6
gaussian_400_25;25;205;30.5
gaussian_400_25;25;210;30.4
gaussian_400_25;25;215;30.3
gaussian_400_25;25;220;30.2
gaussian_400_25;25;225;30.1
gaussian_400_25;25;230;30.0
gaussian_400_25;25;235;29.9
gaussian_400_25;25;240;29.8
gaussian_400_25;25;245;29.7
gaussian_400_25;25;250;29.6
gaussian_400_25;25;255;29.5
gaussian_400_25;25;260;29.4
gaussian_400_25;25;265;29.3
gaussian_400_25;25;270;29.2
gaussian_400_25;25;275;29.1
gaussian_400_25;25;280;29.0
gaussian_400_25;25;285;28.9
gaussian_400_25;25;290;28.8
gaussian_400_25;25;295;28.7
gaussian_400_25;25;300;28.7
gaussian_400_25;25;305;28.6
gaussian_400_25;25;310;28.5
gaussian_400_25;25;315;28.5
gaussian_400_25;25;320;28.5
gaussian_400_25;25;325;28.6
gaussian_400_25;25;330;28.7
gaussian_400_25;25;335;28.9
gaussian_400_25;25;340;29.3
gaussian_400_25;25;345;29.8
gaussian_400_25;25;350;30.5
gaussian_400_25;25;355;31.3
gaussian_400_25;25;360;32.3
gaussian_400_25;25;365;33.4
gaussian_400_25;25;370;34.6
gaussian_400_25;25;375;35.7
gaussian_400_25;25;380;36.8
gaussian_400_25;25;385;38.0
gaussian_400_25;25;390;39.0
gaussian_400_25;25;395;39.9
gaussian_400_25;25;400;40.7
gaussian_400_25;30;5;33.5
gaussian_400_25;30;10;33.4
gaussian_400_25;30;15;33.4
gaussian_400_25;30;20;33.3
gaussian_400_25;30;25;33.2
gaussian_400_25;30;30;33.1
gaussian_400_25;30;35;33.0
gaussian_400_25;30;40;32.9
gaussian_400_25;30;45;32.8
gaussian_400_25;30;50;32.7
gaussian_400_25;30;55;32.6
gaussian_400_25;30;60;32.5
gaussian_400_25;30;65;32.4
gaussian_400_25;30;70;32.3
gaussian_400_25;30;75;32.2
gaussian_400_25;30;80;32.1
gaussian_400_25;30;85;32.0
gaussian_400_25;30;90;31.9
gaussian_400_25;30;95;31.8
gaussian_400_25;30;100;31.7
gaussian_400_25;30;105;31.6
gaussian_400_25;30;110;31.5
gaussian_400_25;30;115;31.4
gaussian_400_25;30;120;31.3
gaussian_400_25;30;125;31.2
gaussian_400_25;30;130;31.1
